id ,alimento               
 1 ,aceituna               , verduras
 2 ,achicoria              , verduras
 3 ,alcachofa              , verduras
 4 ,alcaparra              , verduras
 5 ,algas marinas          , verduras
 6 ,alga nori              , verduras
 7 ,apio                   , verduras
 8 ,auyama                 , verduras
 9 ,batata                 , verduras
10 ,berenjena              , verduras
11 ,berro                  , verduras
12 ,brécol                 , verduras
13 ,brotes de bambú        , verduras
14 ,calabacín              , verduras
15 ,calabaza               , verduras
16 ,castaña de agua        , verduras
17 ,cebolla                , verduras
18 ,cebolleta              , verduras
19 ,champiñon              , verduras
20 ,chirivia               , verduras
21 ,colinabo               , verduras
22 ,col rizada             , verduras
23 ,coliflor               , verduras
24 ,escarola               , verduras
25 ,espinaca               , verduras
26 ,espárrago              , verduras
27 ,germinado de alfalfa   , verduras
28 ,germinado soya verde   , verduras
29 ,hoja de cilantro       , verduras
30 ,hoja de diente de león , verduras
31 ,hoja de mostaza        , verduras
32 ,hongo blanco           , verduras
33 ,hongo negro            , verduras
34 ,hongo shiitake         , verduras
35 ,judía verde            , verduras
36 ,kelp                   , verduras
37 ,lechuga                , verduras
38 ,nabo                   , verduras
39 ,ñame                   , verduras
40 ,patata                 , verduras
41 ,pepino                 , verduras
42 ,pimiento               , verduras
43 ,plátano grande         , verduras
44 ,puerro                 , verduras
45 ,rábano                 , verduras
46 ,rábano chino           , verduras
47 ,remolacha              , verduras
48 ,repollo                , verduras
49 ,repollo chino          , verduras
50 ,tomate                 , verduras
51 ,zanahoria              , verduras
